oja_companyname,replace_with,keywords,exact,butnot,country,
telepizza_portugal,telepizza,telepizza|telepizza_portugal|telepizza_portugal_sa,,,PT,
thales_group,thales,thales,,,PT,
trofa_saude,trofa_saude,trofa_saude|trofa_saude_hospital,,,PT,
uber,uber,uber,,_babe_nbergerhof_rosenberger_gruber_|behandlingshjemmet_cm_schuberts_minde|bussula_exuberante_lda|clauberg_&_filhos_lda|delivery_and_technical_inputs_from_huber+suhner_ag||evidenceliciousuberlda|exuberesboco_unipessoal_lda|exuberminuto|exubersaturn_lda|guber_domus_lda|huber+suhner|_huber+suhner_ag project_manager_rf(r&d)_ |schubergs_gräv_&_schakt_ab|stift_neuberghska_ålderdomshemmet|uberaopapalda,PT,
veigas_portugal,veigas_portugal,veigas_portugal,,,PT,
vestas,vestas,vestas,,mhi_vestas_offshore_wind_a,PT,
viatel,viatel,viatel,,,PT,
webhelp,webhelp,webhelp|webhelp_portugal,,,PT,
wide_scope,wide_scope,wide_scope,,,PT,
winprovit,winprovit,winprovit|_solucoes_inteligentes winprovit_,,,PT,
worten,worten,worten,,,PT,
zaask,zaask,zaask,,,PT,
"1,""secretariatul_general_al_guvernului""",SGG,secretariatul_general|guvernului_secretariatul,,,RO,
"2,""continental""",continental,continental,,automotive|tma_transcontinental_srl|osram_continental|continental_automotive_group_romania|sc_continental_automotive_products_srl|continental_automotive_sibiu|continental_automotive_systems_srl|continental_powertrain_romania,EU,
"4,""oracle""",oracle,oracle,,,EU,
"5,""aconex""",aconex,aconex,,,EU,
"6,""netsuite_inc.""",netsuite,netsuite,,,RO,
"8,""ing_investment_banking""",ing_group,ing_investment_banking|ing_bank,ing_romania|ing|ing_group,salesconsulting|societe_generale_private_banking|inter-consulting_europe_(uk)_ltd|spring_professional|spring_professional_portugal|huxley_banking_&amp|,EU,
"10,""accenture""",accenture,accenture,,,EU,
"13,""honeywell""",honeywell,honeywell|honeywell_intelligrated|honeywell_international_inc,,,EU,
"14,""orange""",orange,orange_business_services|orange_romania_sa,orange,,EU,
"15,""genpact""",genpact,genpact,,,RO,
"16,""lugera""",lugera,lugera,,,RO,
"18,""sne""",sne,sne_europe,sne,waldmessner_invest_srl|klousner|marsner_technologies_srl|asnet|freigassner_roman|grossner_trading_srl|mariusnes1968|mihai_bosneanu|sneja|thuasne|transnelcar_iv-_transnporte_de_mercadorias,RO,
"19,""microsoft""",microsoft,microsoft,,,EU,
"20,""emerson""",emerson,emerson,,,RO,
"22,""ubisoft""",ubisoft,ubisoft_entertainment,ubisoft,,EU,
"23,""atos""",atos,atos_it|atos_convergence,atos,,RO,
british_american_tobacco,british_american_tobacco,british_american_tobacco,,,EU,
"25,""endava""",endava,endava,endava,,RO,
"26,""societe_generale""",societe_generale,societe_generale,,,EU,
"28,""kaufland""",kaufland,kaufland,,,EU,
"29,""luxoft""",luxoft,luxoft,,,RO,
"31,""finastra""",finastra,finastra,,,RO,
"32,""dell_technologies""",dell,dell_tech|dell_int,dell,sabadell|dellent_consulting|wardell_armstrong|asociatia_arte_dell`_anima|dellent|asociatia_arte_dell'anima|banco_sabadell|business_modelling_associates_uk_ltd,EU,
"37,""hewlett_packard_enterprise""",HP_enterprise,hewlett|hp_,hp,mhp_|ghp_|ahp_|php_|tower_one,EU,
"38,""e.on""",eon,eon_energ|eon_servicii|eon_dialog,eon|eon_se|eon_romania,,RO,
"39,""greenlee_textron_inc""",greenlee_textron,greenlee_textron,,,EU,
"40,""honeywell_international_inc""",honeywell,honeywell|honeywell_intelligrated,,,EU,
"41,""vauban""",vauban,vauban,,,EU,
"42,""red_-_the_global_sap_solutions_provider""",red_Global_SAP_solutions_provider,Global_SAP_solutions_provider,,,RO,
"43,""salesconsulting""",salesconsulting,salesconsulting,,,RO,
"45,""electronic_arts""",electronic_arts,electronic_arts,,,RO,
"46,""veeam""",veeam,veeam,,,RO,
"48,""skillvalue""",skillvalue,skillvalue,,,RO,
"49,""emag""",emag,emagro|emag_ro,emag,emagine|kronemag_millenium|tremag_sa,RO,
"50,""hrs_romania""",hrs_romania,hrs_romania,,,RO,
"51,""nxp_semiconductors""",nxp_semiconductors,nxp_semiconductors,,,EU,
"52,""ntt_data""",ntt_data,ntt_data,ntt,,RO,
"53,""raiffeisen_bank""",raiffeisen,raiffeisen_bank,,,EU,
"55,""pepsico""",pepsico,pepsico,pepsi,,RO,
"57,""amazon""",amazon,amazon,,bioamazon-frutas_e_polpas,_lda|tg_amazon_team_srl|amazonen_werke|amazon_flex_es,
"58,""orange_business_services""",orange_business_services,orange_business_services,,,EU,
"59,""gameloft""",gameloft,gameloft,,,RO,
"62,""molson_coors_brewing_company""",molson_coors_brewing_company,molson_coors_brewing_company,,,EU,
"63,""sales_consulting""",sales_consulting,sales_consulting,,,RO,
"64,""micro_focus""",micro_focus,micro_focus,,,RO,
"66,""auchan_romania""",auchan_romania,auchan,,,RO,
"67,""siemens_ag""",siemens,siemens,,,EU,
"69,""emerson_electric_co""",emerson_electric,emerson,,,EU,
"70,""thales_group""",thales,thales_group,,,EU,
"71,""paddy_power_betfair""",paddy_power_betfair,paddy_power_betfair,,,EU,
"76,""bosch""",bosch,bosch_service_solutions_srl|bosch_service_solutions_srl|bosch_group|robert_bosch_gmbh|bosch_service_solutions,bosch,bochismugurel_transport.srl,EU,
"78,""luxoft_romania""",luxoft,luxoft,,,RO,
"79,""lajumate""",lajumate,lajumate,,,RO,
"80,""ubisoft_entertainment""",ubisoft,ubisoft_entertainment,,,EU,
"81,""deutsche_bank_ag""",deutsche_bank_ag,deutche_bank,,,EU,
"83,""leroy_merlin""",leroy_merlin,leroy,,,RO,
"85,""ihs_markit""",ihs_markit,ihs_markit|ihsmarkit,ihs,,RO,
"86,""ptc""",ptc,ptc_ro|ptc_int,ptc,,RO,
"88,""axway""",axway,axway,,,EU,
"89,""ericsson""",ericsson,ericsson,,,EU,
"90,""sg_european_business_services""",sg_european_business_services,sg_european_business,,,EU,
"91,""vauban""",vauban,vauban,,,EU,
"93,""precision_system_design,_inc.""",precision_system_design,precision_system_design,,,EU,
"94,""abc_human_capital""",abc_human_capital,abc_human,abc,,RO,
"95,""procter_&_gamble""",procter_&_gamble,procter,,,EU,
"96,""adobe_systems_incorporated""",adobe_systems_incorporated,adobe_systems,,,EU,
"97,""millercoors""",millercoors,millercoors,,,EU,
"100,""oficina_de_treball_del_soc""",oficina_de_treball_del_soc,oficina_de_treball_del,,,EU,
"101,""bitdefender""",bitdefender,bitdefender,,,RO,
"103,""oracle_romania""",oracle_romania,oracle,,,RO,
"104,""amaris""",amaris,amaris,,gd_damaris_construct_srl ,RO,
"107,""politia_romana""",politia_romana,politia,,,RO,
"108,""next_ventures_ltd""",next_ventures_ltd,next_ventures,,,EU,
"109,""teamland""",teamland,teamland,,,RO,
"111,""molson_coors""",molson_coors,molson,,,EU,
"114,""jysk""",jysk,jysk,,,EU,
"115,""leoni""",leoni,leoni,,,RO,
"116,""visionaire_partners""",visionaire_partners,visionaire,,,RO,
"118,""allianz_technology""",allianz_technology,allianz,,,EU,
"119,""schlumberger""",schlumberger,schlumberger,,,EU,
"120,""nxp""",nxp,nxp,,,RO,
"121,""michelin_romania""",michelin_romania,michelin,,,RO,
"122,""pentalog_sa""",pentalog_sa,pentalog,,,RO,
"123,""deloitte_romania""",deloitte_romania,deloitte,,,RO,
"124,""adp""",adp,automatic_data_processing|adp_ro|adp_int,adp,,RO,
"125,""aiesec_in_romania""",aiesec,aiesec,,,EU,
"126,""amber_studio""",amber_studio,amber,amber,,RO,
"127,""cognizant_softvision""",cognizant_softvision,cognizant,,,RO,
"128,""ibm""",ibm,ibm_,ibm,luctibmar_trans_srl,EU,
"130,""lenovo""",lenovo,lenovo,,,EU,
"131,""tradeshift""",tradeshift,tradeshift,,,EU,
"132,""banca_transilvania""",banca_transilvania,banca_transilvania,,,RO,
"134,""dräxlmaier_românia""",dräxlmaier_românia,dräxlmaier,,,RO,
"135,""upc_romania""",upc_romania,upc,,,RO,
"136,""millercoor's""",millercoor's,millercoor's,upc,,EU,
"137,""modis""",modis,modis_it|modis,modis,,RO,
"139,""between_technology""",between_technology,between,,,RO,
"140,""michelin""",michelin,michelin,,,EU,
"141,""rian&amp""","partners""",rian&amp,,,RO,
"142,""metro_systems_romania""",metro_systems_romania,metro_systems,,,RO,
"143,""inter-consulting_europe_(uk)_ltd""",inter-consulting_europe_(uk)_ltd,inter-consulting_europe_(uk),,,EU,
"144,""bcr""",bcr,bcr_|banca_comercial,bcr,,RO,
"145,""netiq""",netiq,netiq,,,RO,
"146,""valoris_center""",valoris_center,valoris,,,RO,
"147,""emerson_croft""",emerson_croft,emerson,,,EU,
"148,""netcentric""",netcentric,netcentric,,,RO,
"149,""incrys""",incrys,incrys,,,RO,
"150,""io_associates""",io_associates,io_associates,io,,EU,
"152,""askblue""",askblue,askblue,,,EU,
"153,""magento""",magento,magento,,,EU,
"154,""itech_consult""",itech_consult,itech_consult,,,RO,
"155,""alten""",alten,alten_romania|alten_iasi|alten_spain,alten,,RO,
"156,""veo_worldwide_services""",veo_worldwide_services,veo_worldwide,,,EU,
"157,""schneider_electric""",schneider_electric,schneider,,,RO,
"158,""iqvia""",iqvia,iqvia,,,RO,
"160,""wns_global_services""",wns_global_services,wns_global,,,EU,
"162,""habitissimo""",habitissimo,habitissimo,,,EU,
"163,""hewlett_packard_enterprise_development_lp""",hewlett_packard_enterprise_development_lp,hewlett_packard_enterprise_development,,,EU,
"164,""i.future""",i.future,i.future,,,RO,
"165,""marriott""",marriott,marriott,,,EU,
"166,""gsk""",gsk,gsk_|glaxo,gsk,,EU,
"167,""british_american_tobacco_nigeria""",british_american_tobacco,british_american|britishamerican,,,EU,
"168,""crossover_romania""",crossover_romania,crossover,,,RO,
"169,""unicredit_bank""",unicredit_bank,unicredit|unicredit_bank|unicredit_co|unicredit_tiriac,unicredit,icredit_romania,EU,
"170,""ubisoft_romania""",ubisoft_romania,ubisoft,,,RO,
"171,""uipath""",uipath,uipath,,,EU,
"172,""artwin_consulting""",artwin_consulting,artwin,,,RO,
"174,""temps""",temps,temps,temps,,RO,
"175,""goodyear""",goodyear,goodyear,,,EU,
"176,""oliver_bernard""",oliver_bernard,oliver_bernard,,,EU,
"177,""brd_finance""",brd_finance,brd_fina,brd,,RO,
"178,""ey_romania""",ey_romania,ey_romania,ey,franklincovey,RO,
"179,""lseg_romania""",lseg_romania,lseg_romania,lseg,,RO,
"180,""888_group""",888_group,888,,mugurik88888,RO,
"181,""palerra""",palerra,palerra,,,RO,
"182,""computer_generated_solutions_romania""",computer_generated_solutions_romania,computer_generated_solutions,,,RO,
"183,""2checkout""",2checkout,2checkout,,,RO,
"184,""allianz_technology_se_munchen_sucursala_bucuresti""",allianz_technology_se_munchen_sucursala_bucuresti,allianz_technology_se_munchen_sucursala,,,RO,
"185,""connections_romania""",connections_romania,connections_romania|it_connections,,optima_connections|streamline_connections,RO,
"186,""conectys""",conectys,conectys,,,EU,
"187,""nokia""",nokia,nokia,,,EU,
"188,""adobe""",adobe,adobe,,,EU,
"189,""libra_internet_bank_sa""",libra_internet_bank_sa,libra_internet_bank,,,EU,
"190,""lugera_&amp",lugera,lugera,,,RO,
"191,""sii_romania""",sii_romania,sii_romania,sii,,RO,
"193,""visma_software_srl""",visma_software_srl,visma_software,,,EU,
"194,""docte_consulting""",docte_consulting,docte,,,EU,
"195,""hella_kgaa_hueck_&_co""",hella_kgaa_hueck_&_co,hella_kgaa_hueck_&,,,EU,
"196,""pirelli""",pirelli,pirelli,,,EU,
"197,""softvision""",softvision,softvision,,,EU,
"198,""evolve_today""",evolve_today,evolve,,,RO,
"199,""steelcase_inc.""",steelcase_inc.,steelcase,,,RO,
"201,""elektrobit_automotive_romania""",elektrobit_automotive_romania,elektrobit_automotive,,,RO,
"202,""deutsche_bank""",deutsche_bank,deutsche_bank,deutsche,,EU,
"203,""global_enterprise_partners""",global_enterprise_partners,global_enterprise,,,EU,
"204,""p&amp",p&amp,p&amp,,,RO,
"205,""cegeka_romania""",cegeka_romania,cegeka,,,RO,
"206,""conduent""",conduent,conduent,,,RO,
"209,""victoria_consulting_gmbh""",victoria_consulting_gmbh,victoria_consulting,,,RO,
"210,""flextronics_international""",flextronics_international,flextronics,,,EU,
"211,""rian_&amp_partners""",rian_partners,rian_partners|rian_&amp|rian_&_partners,rian,,EU,
"212,""software_specialists""",software_specialists,software_specialist,,,RO,
"213,""g2-travel""",g2-travel,g2_travel,,,EU,
"215,""lisa_dräxlmaier_gmbh""",lisa_draexlmaier_gmbh,xlmaier,,,EU,
"216,""rm_it_professional_resources_ag""",rm_it_professional_resources_ag,rm_it_professional_resources,,,EU,
"217,""abb""",abb,abb_gr|grupul_abb,abb,,RO,
"218,""hacesfalta""",hacesfalta,hacesfalta,,,EU,
"219,""wolters_kluwer""",wolters_kluwer,wolters,,,EU,
"220,""arrk""",arrk,arrk,,,RO,
"221,""ursus_breweries""",ursus_breweries,ursus,,,RO,
"222,""eteam_inc.""",eteam_inc.,eteam,,,RO,
"223,""london_stock_exchange_group""",london_stock_exchange_group,london_stock_exchange,,,EU,
"225,""inditex""",inditex,inditex,,,RO,
"226,""alstom""",alstom,alstom,,,RO,
"227,""coca-cola_hbc_romania""",coca-cola_hbc_romania,coca-cola_hbc,,,EU,
"228,""lorien""",lorien,lorien,lorien,,RO,
"229,""celestica_inc.""",celestica_inc.,celestica,,,EU,
"230,""icredit""",icredit,icredit,,,EU,
"231,""freelancerit""",freelancerit,freelancerit,,,EU,
"232,""profi_rom_food_srl""",profi_rom_food_srl,profi_rom_food,,,RO,
"233,""telus_international_europe""",telus_international_europe,telus_international,,,EU,
"234,""bombardier""",bombardier,bombardier,,,EU,
"235,""kellogg_company""",kellogg_company,kellogg,,,EU,
"236,""delgaz_grid_s.a.""",delgaz_grid_s.a.,delgaz_grid,,,RO,
"237,""harman_international""",harman_international,harman,,,EU,
"238,""vertiv""",vertiv,vertiv,,,EU,
"239,""f._hoffmann-la_roche_ltd""",f._hoffmann-la_roche_ltd,f._hoffmann-la_roche,,,EU,
"240,""otp_bank""",otp_bank,otp_bank|otp_adv,otp,,RO,
"241,""parexel""",parexel,parexel,,,EU,
"242,""banca_naţională_a_româniei""",Banca_Nationala_a_Romaniei,banca_naţională_a,,,RO,
"244,""first_bank""",first_bank,first_bank,first,,RO,
"245,""medlife""",medlife,medlife,,,RO,
"246,""sap""",sap,sap_solution|sap_romania|sap_timi,sap,red,EU,
"247,""octopus_computer_associates""",octopus_computer_associates,octopus_computer,,,EU,
"248,""vauban_it_ro_srl""",vauban_it_ro_srl,vauban_it_ro,,,RO,
"250,""lidl_romania_srl""",lidl_romania,lidl_ro|lidl_romania|lidl|lidl_romania_srl ,,,RO,
"251,""philips""",philips,philips,,,EU,
"252,""administració_pública""",administracia_publica,administració,,,RO,
"253,""romanian_software""",romanian_software,romanian_software,romanian,,RO,
"254,""solarwinds_worldwide""",solarwinds_worldwide,solarwinds,,,RO,
"255,""8x8,_inc""",8x8,_inc,8x8,,RO,
"256,""cameron""",cameron,cameron,,,RO,
"257,""taga_medical""",taga_medical,taga_medical,taga,,EU,
"258,""federal-mogul_corporation""",federal-mogul_corporation,federal-mogul,,,RO,
"259,""hennes_and_mauritz_inc""",hennes_and_mauritz_inc,hennes_and_mauritz,,,EU,
"260,""qualitest""",qualitest,qualitest,,,RO,
"261,""wipro_digital_operations_and_platforms""",wipro_digital_operations_and_platforms,wipro_digital_operations,,,RO,
"262,""arcus.plan_ag""",arcusplan_ag,arcusplan,,,RO,
"263,""nextlink_solutions""",nextlink_solutions,nextlink,,,RO,
"264,""euro_games_technology""",euro_games_technology,euro_games,,,RO,
"265,""sdl""",sdl,sdl_clu|sdl_romania,sdl,,RO,
"266,""antal""",antal,antal_international,antal,antal_zoltan|antal_zsolt|antalitaboldi,RO,
"267,""computer_futures_-_south_west""",computer_futures_south_west,computer_futures_-_south,,,RO,
"268,""mega_image""",mega_image,mega_image,mega,,EU,
"269,""domestika""",domestika,domestika,,,EU,
"270,""netcentric_ag""",netcentric_ag,netcentric,,,EU,
"271,""metro_systems_romania_srl""",metro_systems_romania_srl,metro_systems_romania,,,RO,
"272,""von_consulting_srl""",von_consulting_srl,von_consulting,,,RO,
"274,""cargill""",cargill,cargill,,,RO,
"275,""contracts_it_ltd""",contracts_it_ltd,contracts_it,,,RO,
"276,""garrett_-_advancing_motion""",garrett_advancing_motion,garrett_-_advancing,,,EU,
"277,""harvey_nash_plc""",harvey_nash_plc,harvey_nash,,,RO,
"278,""sparkware_technologies""",sparkware_technologies,sparkware,,,EU,
"279,""porsche_engineering""",porsche_engineering,porsche,,,EU,
"280,""aventics""",aventics,aventics,,,EU,
"281,""schlumberger_limited""",schlumberger_limited,schlumberger,,,EU,
"283,""stefanini_romania_srl""",stefanini_romania,stefanini_romania|stefanini_romania_srl,,,RO,
"284,""tremend_software_consulting""",tremend_software_consulting,tremend_software,,,EU,
"286,""bebee""",bebee,bebee,,,RO,
"287,""rb""",rb,Reckitt|Benckiser,rb,,RO,
"288,""westhouse_consulting_gmbh""",westhouse_consulting_gmbh,westhouse_consulting,,,EU,
"289,""connect_44_ag""",connect_44_ag,connect_44,,,RO,
"290,""flex""",flextronics_international ,flextronics_international ,flex,,EU,
"291,""kellogg_co.""",kellogg,kellogg,,,EU,
"292,""orange_romania_sa""",orange,orange_romania,,,EU,
"293,""teksystems""",teksystems,teksystems,,,RO,
"295,""tenaris""",tenaris,tenaris,,,RO,
"296,""plexus""",plexus,plexus,,,RO,
"297,""sentinel_it_llp""",sentinel_it,sentinel_it,,,EU,
"298,""temenos""",temenos,temenos,,,EU,
"299,""ams_human_resources""",ams_human_resources,ams_human,,,RO,
"300,""austin_fraser_ltd""",austin_fraser_ltd,austin_fraser,,,EU,
"301,""brd""",brd,brd_fina|brd_asig|brd_gr|rale_brd|brd_life_ins,brd,,RO,
"302,""deutsche_telekom_services_europe_romania_s.r.l.""",deutsche_telekom_services_europe_romania,deutsche_telekom,,,RO,
"303,""grawe_romania_asigurare""",grawe_romania_asigurare,grawe,,,RO,
"305,""euro-testing_software_solutions""",euro-testing_software_solutions,euro-testing_software,,,EU,
"306,""ftserussell""",ftserussell,ftserussell,,,RO,
"307,""huxley_banking_&amp",huxley_bank,huxley_banking,,,EU,
"308,""microsemi_corporation""",microsemi_corporation,microsemi,,,RO,
"309,""nhs_scotland""",nhs_scotland,nhs_scotland,,,EU,
"310,""tenneco_inc""",tenneco_inc,tenneco,,,EU,
"312,""marlin_green""",marlin_green,marlin,,,EU,
"313,""systematic""",systematic,systematic,,,RO,
"315,""automatic_data_processing_(adp)_romania""",automatic_data_processing_romania,automatic_data_processing_(adp),,,RO,
"316,""crowdstrike""",crowdstrike,crowdstrike,,,EU,
"317,""digi_|_rcs__rds""",digi_rcs_rds,digi_|_rcs,,,RO,
"318,""godaddy_operating_company,_llc""",godaddy_operating_company_llc,godaddy,,,RO,
"319,""vodafone_group_plc.""",vodafone,vodafone,,,RO,
